,nearest_miles,Intensity_5 miles,Intensity_10 miles,Intensity_20 miles,Intensity_30 miles,intensity_50 miles,Intensity_100 miles,Intensity_200 miles,,
646,,,,,,,,,,
681,68,0,0,0,0,0,1,1,,
692,13,0,0,1,1,1,1,1,,
725,11,0,0,1,1,1,1,1,,
802,77,0,0,0,0,0,1,1,,
803,77,0,0,0,0,0,1,1,,
820,102,0,0,0,0,0,0,1,,
821,102,0,0,0,0,0,0,1,,
840,93,0,0,0,0,0,1,1,,
901,5,0,1,1,1,1,1,1,,
908,4,1,1,1,1,1,1,1,,
911,5,0,1,1,1,1,1,1,,
914,7,0,1,1,1,1,1,1,,
917,4,1,1,1,1,1,1,1,,
918,4,1,1,1,1,1,1,1,,
919,3,1,1,1,1,1,1,1,,
920,2,1,1,1,1,1,1,1,,
924,6,0,1,1,1,1,1,1,,
926,3,1,1,1,1,1,1,1,,
928,3,1,1,1,1,1,1,1,,
936,3,1,1,1,1,1,1,1,,
949,6,0,1,1,1,1,1,1,,
968,0,1,1,1,1,1,1,1,,
979,8,0,1,1,1,1,1,1,,
1013,4,1,1,1,2,5,24,54,,
1030,4,1,1,1,2,4,24,56,,
1040,7,0,1,1,1,6,23,53,,
1060,15,0,0,1,1,5,22,53,,
1075,9,0,1,1,1,5,22,53,,
1080,12,0,0,1,2,5,20,52,,
1085,8,0,1,1,2,4,25,56,,
1086,8,0,1,1,2,4,25,56,,
1089,2,1,1,1,2,4,25,56,,
1090,3,1,1,1,2,4,25,56,,
1095,7,0,1,1,2,5,22,53,,
1102,2,1,1,1,2,5,23,54,,
1103,0,1,1,1,2,4,24,55,,
1104,2,1,1,1,2,4,24,54,,
1105,0,1,1,1,2,4,24,55,,
1106,3,1,1,1,2,4,24,56,,
1107,1,1,1,1,2,4,25,54,,
1128,4,1,1,1,2,5,23,54,,
1144,0,1,1,1,2,4,24,55,,
1201,29,0,0,0,1,3,17,57,,
1202,25,0,0,0,1,3,17,58,,
1230,28,0,0,0,1,3,17,57,,
1238,35,0,0,0,0,3,17,58,,
1247,31,0,0,0,0,3,14,53,,
1267,27,0,0,0,1,3,14,53,,
1331,21,0,0,0,2,6,19,49,,
1373,25,0,0,0,2,5,21,53,,
1420,0,1,1,2,3,7,17,46,,
1434,11,0,0,2,5,7,16,45,,
1440,9,0,1,1,3,8,19,47,,
1453,4,1,1,2,3,8,17,46,,
1460,16,0,0,2,5,8,16,45,,
1471,11,0,0,2,5,7,17,45,,
1473,5,0,1,1,3,8,17,46,,
1507,10,0,0,1,1,10,20,49,,
1510,12,0,0,2,3,8,17,46,,
1527,4,1,1,1,2,9,17,47,,
1529,16,0,0,2,4,7,17,47,,
1532,8,0,1,2,3,9,17,47,,
1536,5,0,1,1,2,9,17,47,,
1540,10,0,0,1,1,10,19,48,,
1542,6,0,1,1,2,10,20,47,,
1545,4,1,1,1,2,9,17,47,,
1566,17,0,0,1,2,6,22,50,,
1570,15,0,0,1,2,9,19,49,,
1581,9,0,1,1,3,8,17,47,,
1583,6,0,1,2,2,10,17,47,,
1605,1,1,1,1,2,9,17,47,,
1606,3,1,1,2,2,10,17,47,,
1608,0,1,1,1,2,9,17,47,,
1609,1,1,1,1,2,9,17,47,,
1610,1,1,1,1,2,9,17,47,,
1613,0,1,1,1,2,9,17,47,,
1653,2,1,1,2,2,9,17,47,,
1701,18,0,0,2,5,9,16,45,,
1702,19,0,0,2,5,9,16,45,,
1719,15,0,0,2,5,8,15,45,,
1720,17,0,0,2,5,8,16,45,,
1730,9,0,1,2,4,9,16,43,,
1742,14,0,0,2,5,8,16,44,,
1746,19,0,0,1,5,8,17,45,,
1748,14,0,0,1,6,8,17,47,,
1749,15,0,0,2,5,9,16,46,,
1752,14,0,0,1,5,9,16,46,,
1754,18,0,0,1,5,8,15,45,,
1757,16,0,0,1,4,8,17,47,,
1760,15,0,0,2,4,9,15,45,,
1772,14,0,0,1,5,9,17,46,,
1773,11,0,0,2,6,8,16,44,,
1776,18,0,0,2,6,9,15,45,,
1778,14,0,0,2,5,9,15,44,,
1801,3,1,2,2,4,9,16,42,,
1803,5,0,1,2,3,9,16,42,,
1810,11,0,0,2,4,8,15,41,,
1821,9,0,1,2,4,8,16,43,,
